label,width,length,cutout factor,make initial guess,use for fitting,recalc width and length
Simon #3 cutout,,,1.0327,True,True,True
Simon #6 cutout,,,1.0013,True,True,True
Simon #14 cutout,4.4,5.3,1.043,False,True,True
Simon #16 cutout,6.1,10.5,0.9996,False,True,True
Simon #18 cutout,7.6,10.1,0.9981,False,True,True
Simon #19 cutout,5.8,10.4,1.0011,False,True,True
Simon #20 cutout,4.3,5.1,1.038,False,True,True
Simon #22 cutout,5.2,10.3,1.0117,False,True,True
Simon #34 cutout,7.0,9.7,0.9933,False,True,True
Simon #38 cutout,4.7,5.7,1.0272,False,True,True
Simon #41 cutout,6.9,10.0,0.9948,False,True,True
Simon #43 cutout,6.1,7.7,,False,False,True
Simon #57 cutout,3.6,4.6,1.0597,False,True,True
Simon #58 cutout,5.9,7.5,1.0090000000000001,False,True,True
Simon #70 cutout,7.5,8.4,0.9972,False,True,True
Simon #73 cutout,,,,True,False,True
Simon #82 cutout,6.3,8.0,1.0009,False,True,True
Simon #83 cutout,5.8,7.9,1.0106,False,True,True
Simon #104 cutout,5.7,8.3,1.0066,False,True,True
Simon #106 cutout,6.1,9.7,1.0009,False,True,True
Simon #109 cutout,6.3,7.8,1.0070000000000001,False,True,True
Simon #112 cutout,3.5,4.2,1.0539,False,True,True
Simon 9cm circle,,,0.9917,False,False,False
Simon 8cm circle,8.0,8.0,0.9934,False,True,False
Simon 6cm circle,6.0,6.0,1.0144,False,True,False
Simon 4cm circle,4.0,4.0,1.0458,False,True,False
Simon 7cm circle,7.0,7.0,0.9968,False,True,False
Simon 3cm circle,3.0,3.0,1.0758,False,True,False
Simon 5cm circle,5.0,5.0,1.0304,False,True,False
Simon 5x13cm oval,5.0,13.0,1.0134,False,True,False
Simon 4x13cm oval,4.0,13.0,1.0249,False,True,False
Simon 4x6.5cm oval,4.0,6.5,1.0407,False,True,False
Simon 5x8cm oval,5.0,8.0,1.0172,False,True,False
Simon 3x6.5cm oval,3.0,6.5,1.0544,False,True,False
Simon 3x5cm oval,3.0,5.0,1.0697,False,True,False
Simon 4x8cm oval,4.0,8.0,1.0301,False,True,False
Simon 3x9cm oval,3.0,9.0,1.0535,False,True,False
Simon 4x10cm oval,4.0,10.0,1.0299,False,True,False
Simon 5x10cm oval,5.0,10.0,1.0123,False,True,False
Simon 3x13cm oval,3.0,13.0,1.0493,False,True,False
